queue_no,registry_key,title,document_type,language,authority_level,domain_scope,source_type,summary,content_text,category,source_url,author,year,review_bucket,planned_import_stage,tags
1,549f582fefcb,سجلات الطابو العثماني - القدس,recovered_reference,ar,unverified,other,external_fetch,سجلات الطابو العثمانية التي توثق ملكية الأراضي في منطقة القدس خلال الفترة العثمانية. تحتوي على معلومات تفصيلية عن المالكين والحدود والمساحات.,"العنوان: سجلات الطابو العثماني - القدس
المؤلف/الجهة: الأرشيف العثماني
السنة: 1890
المصدر: https://example.com/ottoman-jerusalem
ملخص/مقتطف مسترد: سجلات الطابو العثمانية التي توثق ملكية الأراضي في منطقة القدس خلال الفترة العثمانية. تحتوي على معلومات تفصيلية عن المالكين والحدود والمساحات.",reference,https://example.com/ottoman-jerusalem,الأرشيف العثماني,1890,HOLD_EXCLUDED_DO_NOT_IMPORT,hold_no_import,reference;other;HOLD_EXCLUDED_DO_NOT_IMPORT;old_db_recovered;kb05
2,611cb3c8f1b0,Minimal Test Document,recovered_reference,ar,unverified,public_info,seeded,,"العنوان: Minimal Test Document
المصدر: NULL",reference,NULL,,,HOLD_EXCLUDED_DO_NOT_IMPORT,hold_no_import,reference;public_info;HOLD_EXCLUDED_DO_NOT_IMPORT;old_db_recovered;kb05
3,8e01286311db,إدارة الأوقاف في عهد الانتداب البريطاني,administrative_reference,ar,semi_official,historical,external_fetch,,"العنوان: إدارة الأوقاف في عهد الانتداب البريطاني
المصدر: https://badil.org/publications/al-majdal/issues/items/409.html",historical,https://badil.org/publications/al-majdal/issues/items/409.html,,,P2_MINISTRY_ADMINISTRATIVE_REVIEW,stage_02_reference_documents_in_review_after_p1,historical;historical;P2_MINISTRY_ADMINISTRATIVE_REVIEW;old_db_recovered;kb05
4,0e5facccad08,نظام ملكية الأراضي في العهد العثماني,administrative_reference,ar,semi_official,public_info,external_fetch,مقال شامل يتناول تطور نظام ملكية الأراضي في العهد العثماني. يشرح قانون الأراضي عام 1858، ولائحة تعليمات سندات الطابو عام 1859، ونظام الطابو. يوضح كيفية تسجيل الأراضي وإصدار السندات.,"العنوان: نظام ملكية الأراضي في العهد العثماني
المؤلف/الجهة: وكالة الأنباء الفلسطينية (وفا)
المصدر: https://info.wafa.ps/pages/details/32393
ملخص/مقتطف مسترد: مقال شامل يتناول تطور نظام ملكية الأراضي في العهد العثماني. يشرح قانون الأراضي عام 1858، ولائحة تعليمات سندات الطابو عام 1859، ونظام الطابو. يوضح كيفية تسجيل الأراضي وإصدار السندات.",reference,https://info.wafa.ps/pages/details/32393,وكالة الأنباء الفلسطينية (وفا),,P2_MINISTRY_ADMINISTRATIVE_REVIEW,stage_02_reference_documents_in_review_after_p1,reference;public_info;P2_MINISTRY_ADMINISTRATIVE_REVIEW;old_db_recovered;kb05
5,76a27fa90a93,إدارة وتنمية أموال الوقف - ماجد أبو رخية,administrative_reference,ar,semi_official,administrative,manual,"كتاب 'إدارة وتنمية أموال الوقف' للدكتور ماجد أبو رخية من الكتب العملية المتخصصة في إدارة واستثمار الأوقاف. نُشر الكتاب عام 2012م.

يتناول الكتاب الجوانب الإدارية والاستثمارية للأوقاف بطريقة عملية، ويقدم أدوات ونماذج يمكن تطبيقها في إدارة الأوقاف. يستهدف الكتاب المسؤولين عن إدارة الأوقاف والنظار والعاملين في مؤسسات الأوقاف.

من أهم موضوعات الكتاب:

1. التخطيط الاستراتيجي للأوقاف: تحديد الرؤية والرسالة والأهداف، تحليل البيئة الداخلية والخارجية، وضع الاستراتيجيات، وتحديد مؤشرات الأداء.

2. الهيكل التنظيمي للأوقاف: تصميم الهيكل التنظيمي، تحديد الصلاحيات والمسؤوليات، وإنشاء اللجان المتخصصة.

3. الم","العنوان: إدارة وتنمية أموال الوقف - ماجد أبو رخية
المؤلف/الجهة: ماجد أبو رخية
السنة: 2012
ملخص/مقتطف مسترد: كتاب 'إدارة وتنمية أموال الوقف' للدكتور ماجد أبو رخية من الكتب العملية المتخصصة في إدارة واستثمار الأوقاف. نُشر الكتاب عام 2012م.

يتناول الكتاب الجوانب الإدارية والاستثمارية للأوقاف بطريقة عملية، ويقدم أدوات ونماذج يمكن تطبيقها في إدارة الأوقاف. يستهدف الكتاب المسؤولين عن إدارة الأوقاف والنظار والعاملين في مؤسسات الأوقاف.

من أهم موضوعات الكتاب:

1. التخطيط الاستراتيجي للأوقاف: تحديد الرؤية والرسالة والأهداف، تحليل البيئة الداخلية والخارجية، وضع الاستراتيجيات، وتحديد مؤشرات الأداء.

2. الهيكل التنظيمي للأوقاف: تصميم الهيكل التنظيمي، تحديد الصلاحيات والمسؤوليات، وإنشاء اللجان المتخصصة.

3. الم",administrative,,ماجد أبو رخية,2012,P2_MINISTRY_ADMINISTRATIVE_REVIEW,stage_02_reference_documents_in_review_after_p1,administrative;administrative;P2_MINISTRY_ADMINISTRATIVE_REVIEW;old_db_recovered;kb05
6,503e280d679e,الإشراف المعاصر على العقارات الوقفية,administrative_reference,ar,semi_official,administrative,external_fetch,"تتولى الإدارة العامة للأملاك الوقفية في وزارة الأوقاف والشؤون الدينية الفلسطينية الإشراف على العقارات الوقفية.

الإجراءات الحالية:
1. تلقي الطلبات: طلبات استئجار الأملاك الوقفية
2. الأراضي والعقارات: جميع أنواع الأملاك الوقفية
3. المواطنون والمؤسسات: يمكنهم التقدم بطلبات

الجهة المسؤولة: الإدارة العامة للأملاك الوقفية - وزارة الأوقاف والشؤون الدينية

الهدف: تنظيم استثمار الأملاك الوقفية وضمان استفادة المستحقين منها وفق الأحكام الشرعية والقانونية.","العنوان: الإشراف المعاصر على العقارات الوقفية
المصدر: https://www.palestinecabinet.gov.ps/portal/GovService/Details/129
ملخص/مقتطف مسترد: تتولى الإدارة العامة للأملاك الوقفية في وزارة الأوقاف والشؤون الدينية الفلسطينية الإشراف على العقارات الوقفية.

الإجراءات الحالية:
1. تلقي الطلبات: طلبات استئجار الأملاك الوقفية
2. الأراضي والعقارات: جميع أنواع الأملاك الوقفية
3. المواطنون والمؤسسات: يمكنهم التقدم بطلبات

الجهة المسؤولة: الإدارة العامة للأملاك الوقفية - وزارة الأوقاف والشؤون الدينية

الهدف: تنظيم استثمار الأملاك الوقفية وضمان استفادة المستحقين منها وفق الأحكام الشرعية والقانونية.",administrative,https://www.palestinecabinet.gov.ps/portal/GovService/Details/129,,,P2_MINISTRY_ADMINISTRATIVE_REVIEW,stage_02_reference_documents_in_review_after_p1,administrative;administrative;P2_MINISTRY_ADMINISTRATIVE_REVIEW;old_db_recovered;kb05
7,439f0f853ee9,الوقف الإسلامي: تطوره، إدارته، تنميته - منذر قحف,administrative_reference,ar,semi_official,administrative,manual,"كتاب 'الوقف الإسلامي: تطوره، إدارته، تنميته' للدكتور منذر قحف من أهم الدراسات الاقتصادية والإدارية المعاصرة في مجال الأوقاف الإسلامية. يجمع الكتاب بين الفقه الإسلامي والاقتصاد والإدارة.

يتناول الكتاب تاريخ الوقف الإسلامي وتطوره عبر العصور، ودوره الاقتصادي والاجتماعي في المجتمعات الإسلامية. كما يعرض أساليب إدارة الأوقاف التقليدية والحديثة، وطرق تنمية الأوقاف واستثمارها.

من أهم موضوعات الكتاب: الوقف النقدي (وقف الأموال السائلة)، الصكوك الوقفية (أدوات مالية إسلامية للوقف)، الوقف الاستثماري (استثمار أموال الوقف في مشاريع مربحة)، إدارة الأوقاف بطريقة احترافية، والحوكمة في الأوقاف.

يقدم الكتاب نم","العنوان: الوقف الإسلامي: تطوره، إدارته، تنميته - منذر قحف
المؤلف/الجهة: منذر قحف
السنة: 2000
ملخص/مقتطف مسترد: كتاب 'الوقف الإسلامي: تطوره، إدارته، تنميته' للدكتور منذر قحف من أهم الدراسات الاقتصادية والإدارية المعاصرة في مجال الأوقاف الإسلامية. يجمع الكتاب بين الفقه الإسلامي والاقتصاد والإدارة.

يتناول الكتاب تاريخ الوقف الإسلامي وتطوره عبر العصور، ودوره الاقتصادي والاجتماعي في المجتمعات الإسلامية. كما يعرض أساليب إدارة الأوقاف التقليدية والحديثة، وطرق تنمية الأوقاف واستثمارها.

من أهم موضوعات الكتاب: الوقف النقدي (وقف الأموال السائلة)، الصكوك الوقفية (أدوات مالية إسلامية للوقف)، الوقف الاستثماري (استثمار أموال الوقف في مشاريع مربحة)، إدارة الأوقاف بطريقة احترافية، والحوكمة في الأوقاف.

يقدم الكتاب نم",administrative,,منذر قحف,2000,P2_MINISTRY_ADMINISTRATIVE_REVIEW,stage_02_reference_documents_in_review_after_p1,administrative;administrative;P2_MINISTRY_ADMINISTRATIVE_REVIEW;old_db_recovered;kb05
8,a1d9ff7de15e,تعليمات لجان رعاية المساجد رقم (2) لسنة 2023م,administrative_reference,ar,semi_official,administrative,external_fetch,"تعليمات صادرة عن وزارة الأوقاف والشؤون الدينية الفلسطينية لتنظيم عمل لجان رعاية المساجد.

أهداف التعليمات:
1. المحافظة على المساجد وقدسيتها ونظافتها
2. إحياء صلاة الجماعة
3. تحقيق مبدأ تكافؤ الفرص في منح الإكرامية
4. حماية المساجد من التعديات

نطاق التطبيق:
- جميع المساجد في فلسطين
- لجان رعاية المساجد
- الأئمة والمؤذنون","العنوان: تعليمات لجان رعاية المساجد رقم (2) لسنة 2023م
المصدر: http://muqtafi.birzeit.edu/pg/getleg.asp?id=18827
ملخص/مقتطف مسترد: تعليمات صادرة عن وزارة الأوقاف والشؤون الدينية الفلسطينية لتنظيم عمل لجان رعاية المساجد.

أهداف التعليمات:
1. المحافظة على المساجد وقدسيتها ونظافتها
2. إحياء صلاة الجماعة
3. تحقيق مبدأ تكافؤ الفرص في منح الإكرامية
4. حماية المساجد من التعديات

نطاق التطبيق:
- جميع المساجد في فلسطين
- لجان رعاية المساجد
- الأئمة والمؤذنون",administrative,http://muqtafi.birzeit.edu/pg/getleg.asp?id=18827,,,P2_MINISTRY_ADMINISTRATIVE_REVIEW,stage_02_reference_documents_in_review_after_p1,administrative;administrative;P2_MINISTRY_ADMINISTRATIVE_REVIEW;old_db_recovered;kb05
9,e6a43e67707f,مهام وزارة الأوقاف والشؤون الدينية الفلسطينية,administrative_reference,ar,semi_official,administrative,external_fetch,"وزارة الأوقاف والشؤون الدينية هي الجهة الحكومية المسؤولة عن إدارة الأوقاف والشؤون الدينية في فلسطين.

المهام الأساسية:
1. رعاية الأركان الخمس (الشهادتان، الصلاة، الزكاة، الصوم، الحج)
2. رعاية الشؤون الدينية والحفاظ على وسطية المنهج
3. الحفاظ على أملاك الوقف وتنميتها واستثمارها
4. حفظ الموروث الديني والثقافي والارتقاء بالتعليم الشرعي

البرامج الرئيسية:
- برنامج الأركان الخمسة
- برنامج إدارة الأملاك الوقفية
- برنامج التعليم الشرعي والمهني والتراث
- البرنامج الإداري","العنوان: مهام وزارة الأوقاف والشؤون الدينية الفلسطينية
المصدر: https://www.palestinecabinet.gov.ps/portal/OrgStructure/Details/20
ملخص/مقتطف مسترد: وزارة الأوقاف والشؤون الدينية هي الجهة الحكومية المسؤولة عن إدارة الأوقاف والشؤون الدينية في فلسطين.

المهام الأساسية:
1. رعاية الأركان الخمس (الشهادتان، الصلاة، الزكاة، الصوم، الحج)
2. رعاية الشؤون الدينية والحفاظ على وسطية المنهج
3. الحفاظ على أملاك الوقف وتنميتها واستثمارها
4. حفظ الموروث الديني والثقافي والارتقاء بالتعليم الشرعي

البرامج الرئيسية:
- برنامج الأركان الخمسة
- برنامج إدارة الأملاك الوقفية
- برنامج التعليم الشرعي والمهني والتراث
- البرنامج الإداري",administrative,https://www.palestinecabinet.gov.ps/portal/OrgStructure/Details/20,,,P2_MINISTRY_ADMINISTRATIVE_REVIEW,stage_02_reference_documents_in_review_after_p1,administrative;administrative;P2_MINISTRY_ADMINISTRATIVE_REVIEW;old_db_recovered;kb05
10,fd24d717947c,نظام الأوقاف في التطبيق المعاصر - عبد الله بن ناصر السدحان,administrative_reference,ar,semi_official,administrative,manual,"كتاب 'نظام الأوقاف في التطبيق المعاصر' للدكتور عبد الله بن ناصر السدحان من أهم الدراسات المعاصرة في إدارة الأوقاف الإسلامية. نُشر الكتاب عام 2007م، ويجمع بين الفقه والإدارة والقانون.

يتناول الكتاب النظام القانوني والإداري للأوقاف في العصر الحديث، مع التركيز على التجارب المعاصرة في البلدان الإسلامية. يعرض الكتاب نماذج من أنظمة الأوقاف في: السعودية، الكويت، قطر، الأردن، مصر، تركيا، وماليزيا.

من أهم موضوعات الكتاب:
1. الإطار القانوني للأوقاف: القوانين والأنظمة المنظمة للأوقاف في البلدان الإسلامية.
2. الهيكل التنظيمي لإدارة الأوقاف: الوزارات، الهيئات، الإدارات، والمؤسسات الوقفية.
3. صلاحيات إدار","العنوان: نظام الأوقاف في التطبيق المعاصر - عبد الله بن ناصر السدحان
المؤلف/الجهة: عبد الله بن ناصر السدحان
السنة: 2007
ملخص/مقتطف مسترد: كتاب 'نظام الأوقاف في التطبيق المعاصر' للدكتور عبد الله بن ناصر السدحان من أهم الدراسات المعاصرة في إدارة الأوقاف الإسلامية. نُشر الكتاب عام 2007م، ويجمع بين الفقه والإدارة والقانون.

يتناول الكتاب النظام القانوني والإداري للأوقاف في العصر الحديث، مع التركيز على التجارب المعاصرة في البلدان الإسلامية. يعرض الكتاب نماذج من أنظمة الأوقاف في: السعودية، الكويت، قطر، الأردن، مصر، تركيا، وماليزيا.

من أهم موضوعات الكتاب:
1. الإطار القانوني للأوقاف: القوانين والأنظمة المنظمة للأوقاف في البلدان الإسلامية.
2. الهيكل التنظيمي لإدارة الأوقاف: الوزارات، الهيئات، الإدارات، والمؤسسات الوقفية.
3. صلاحيات إدار",administrative,,عبد الله بن ناصر السدحان,2007,P2_MINISTRY_ADMINISTRATIVE_REVIEW,stage_02_reference_documents_in_review_after_p1,administrative;administrative;P2_MINISTRY_ADMINISTRATIVE_REVIEW;old_db_recovered;kb05
